,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,district,at_large,geoid,state_names
0,A000014,Neil,Abercrombie,1938-06-26,M,D,False,400001,,4,932,30.0,0.0,HI,1,False,1501,Hawaii
1,A000022,Gary,Ackerman,1942-11-19,M,D,False,400003,1002061.0,10,932,173.0,0.0,NY,7,False,3607,New York
2,A000103,William,Alexander,1934-01-16,M,D,False,400761,,24,932,188.0,0.0,AR,1,False,501,Arkansas
3,A000109,Wayne,Allard,1943-12-02,M,R,False,300003,,2,932,16.0,0.0,CO,4,False,804,Colorado
4,A000121,George,Allen,1952-03-08,M,R,False,300004,,2,932,4.0,1.0,VA,7,False,5107,Virginia
5,A000189,Glenn,Anderson,1913-02-21,,D,False,400844,,24,932,30.0,0.0,CA,32,False,632,California
6,A000211,Thomas,Andrews,1953-03-22,M,D,False,400885,,2,932,14.0,0.0,ME,1,False,2301,Maine
7,A000209,Michael,Andrews,1944-02-07,M,D,False,400882,,10,932,18.0,0.0,TX,25,False,4825,Texas
8,A000210,Robert,Andrews,1957-08-04,M,D,False,400008,19670.0,2,932,26.0,0.0,NJ,1,False,3401,New Jersey
9,A000212,Frank,Annunzio,1915-01-12,M,D,False,400895,,28,932,48.0,0.0,IL,11,False,1711,Illinois
10,A000213,Beryl,Anthony,1938-02-21,,D,False,400898,,14,932,184.0,0.0,AR,4,False,504,Arkansas
11,A000214,Douglas,Applegate,1928-03-27,M,D,False,400906,,16,932,21.0,0.0,OH,18,False,3918,Ohio
12,A000215,Bill,Archer,1928-03-22,M,R,False,400567,,22,932,49.0,0.0,TX,7,False,4807,Texas
13,A000217,Richard,Armey,1940-07-07,M,R,False,400551,,2,932,26.0,0.0,TX,26,False,4826,Texas
14,A000224,Leslie,Aspin,1938-07-21,M,D,False,400967,,22,932,64.0,0.0,WI,1,False,5501,Wisconsin
15,A000226,Chester,Atkins,1948-04-14,M,D,False,400975,,8,932,60.0,0.0,MA,5,False,2505,Massachusetts
16,A000337,Les,AuCoin,1942-10-21,,D,False,400987,,18,932,149.0,0.0,OR,1,False,4101,Oregon
17,B000008,Jim,Bacchus,1949-06-21,M,D,False,401014,,2,932,33.0,0.0,FL,11,False,1211,Florida
18,B000072,Richard,Baker,1948-05-22,M,R,False,400012,,6,932,61.0,0.0,LA,6,False,2206,Louisiana
19,B000104,Cass,Ballenger,1926-12-06,M,R,False,400015,,6,932,38.0,1.0,NC,10,False,3710,North Carolina
20,B000153,Druie,Barnard,1922-03-20,,D,False,401155,,16,932,239.0,0.0,GA,10,False,1310,Georgia
21,B000179,Bill,Barrett,1929-02-09,M,R,False,400568,,2,932,12.0,1.0,NE,3,False,3103,Nebraska
22,B000204,Harry,Bartlett,1947-09-19,M,R,False,401203,,10,932,7.0,0.0,TX,3,False,4803,Texas
23,B000213,Joe,Barton,1949-09-15,M,R,False,400018,5248.0,8,932,69.0,1.0,TX,6,False,4806,Texas
24,B000229,Herbert,Bateman,1928-08-07,M,R,False,400569,,10,932,23.0,6.0,VA,1,False,5101,Virginia
25,B000318,Anthony,Beilenson,1932-10-26,M,D,False,401310,,16,932,44.0,0.0,CA,23,False,623,California
26,B000371,Charles,Bennett,1910-12-02,M,D,False,401363,,44,932,0.0,0.0,FL,3,False,1203,Florida
27,B000392,Helen,Bentley,1923-11-28,F,R,False,401383,,8,932,31.0,0.0,MD,2,False,2402,Maryland
