,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,district,at_large,geoid
0,A000374,Ralph,Abraham,1954-09-16,M,R,,412630,76236,6,839,278,0,LA,5,False,2205
1,A000370,Alma,Adams,1946-05-27,F,D,,412607,76386,8,839,26,0,NC,12,False,3712
2,A000055,Robert,Aderholt,1965-07-22,M,R,,400004,45516,24,839,41,0,AL,4,False,0104
3,A000371,Pete,Aguilar,1979-06-19,M,D,,412615,79994,6,839,8,0,CA,31,False,0631
4,A000372,Rick,Allen,1951-11-07,M,R,,412625,62545,6,839,2,0,GA,12,False,1312
5,A000376,Colin,Allred,1983-04-15,M,D,,412828,,2,839,29,0,TX,32,False,4832
6,A000367,Justin,Amash,1980-04-18,M,I,,412438,1033767,10,409,0,6,MI,3,False,2603
7,A000367,Justin,Amash,1980-04-18,M,R,,412438,1033767,10,430,0,5,MI,3,False,2603
8,A000369,Mark,Amodei,1958-06-12,M,R,,412500,62817,10,839,22,0,NV,2,False,3202
9,A000377,Kelly,Armstrong,1976-10-08,M,R,,412794,,2,839,28,0,ND,At-Large,True,3800
10,A000375,Jodey,Arrington,1972-03-09,M,R,,412726,1016482,4,839,15,0,TX,19,False,4819
11,A000378,Cynthia,Axne,1965-04-20,F,D,,412772,,2,839,17,0,IA,3,False,1903
12,B001291,Brian,Babin,1948-03-23,M,R,,412655,44883,6,839,37,0,TX,36,False,4836
13,B001298,Don,Bacon,1963-08-16,M,R,,412713,103442,4,839,1,0,NE,2,False,3102
14,B001307,James,Baird,1945-06-04,M,R,,412777,,2,839,7,0,IN,4,False,1804
15,B001306,Troy,Balderson,1962-01-16,M,R,,412747,,4,839,1,0,OH,12,False,3912
16,B001299,Jim,Banks,1979-07-16,M,R,,412702,89806,4,839,1,0,IN,3,False,1803
17,B001282,Andy,Barr,1973-07-24,M,R,,412541,61848,8,839,16,0,KY,6,False,2106
18,B001300,Nanette,Barragán,1976-09-15,F,D,,412687,104730,4,839,16,0,CA,44,False,0644
19,B001270,Karen,Bass,1953-10-03,F,D,,412404,62502,10,839,50,1,CA,37,False,0637
20,B001281,Joyce,Beatty,1950-03-12,F,D,,412565,67294,8,839,41,0,OH,3,False,3903
21,B001287,Ami,Bera,1965-03-02,M,D,,412512,1033636,8,839,3,0,CA,7,False,0607
22,B001301,Jack,Bergman,1947-02-02,M,R,,412709,1020529,4,839,15,0,MI,1,False,2601
23,B001292,Donald,Beyer,1950-06-20,M,D,,412657,21141,6,839,26,0,VA,8,False,5108
24,B001302,Andy,Biggs,1958-11-07,M,R,,412683,105145,4,839,19,0,AZ,5,False,0405
25,B001257,Gus,Bilirakis,1963-02-08,M,R,,412250,1022873,16,839,30,0,FL,12,False,1212
26,B001311,Dan,Bishop,1964-07-01,M,R,,412844,,2,308,33,0,NC,9,False,3709
27,B001250,Rob,Bishop,1951-07-13,M,R,,400029,1003621,18,839,56,0,UT,1,False,4901
28,B000490,Sanford,Bishop,1947-02-04,M,D,,400030,26194,28,839,28,0,GA,2,False,1302
29,B000574,Earl,Blumenauer,1948-08-16,M,D,,400033,43809,26,839,10,0,OR,3,False,4103
30,B001303,Lisa,Blunt Rochester,1962-02-10,F,D,,412689,104772,4,839,5,0,DE,At-Large,True,1000
31,B001278,Suzanne,Bonamici,1954-10-14,F,D,,412501,63966,10,839,4,0,OR,1,False,4101
32,B001295,Mike,Bost,1960-12-30,M,R,,412629,76176,6,839,92,0,IL,12,False,1712
33,B001296,Brendan,Boyle,1977-02-06,M,D,,412652,76428,6,839,14,0,PA,2,False,4202
34,B000755,Kevin,Brady,1955-04-11,M,R,,400046,45749,24,839,52,0,TX,8,False,4808
35,B001308,Anthony,Brindisi,1978-11-22,M,D,,412806,,2,839,3,0,NY,22,False,3622
36,B001274,Mo,Brooks,1954-04-29,M,R,,412395,94888,10,839,11,0,AL,5,False,0105
37,B001284,Susan,Brooks,1960-08-25,F,R,,412539,623720,8,839,36,0,IN,5,False,1805
38,B001304,Anthony,Brown,1961-11-21,M,D,,412707,1029537,4,839,4,0,MD,4,False,2404
39,B001285,Julia,Brownley,1952-08-28,F,D,,412516,79783,8,839,16,0,CA,26,False,0626
40,B001260,Vern,Buchanan,1951-05-08,M,R,,412196,1021626,14,839,36,0,FL,16,False,1216
41,B001297,Ken,Buck,1959-02-16,M,R,,412619,78285,6,839,108,0,CO,4,False,0804
