,id,first_name,last_name,dob,gender,current_party,govtrack_id,cspan_id,congress,chamber,state,district,senate_class,party,leadership_role,seniority,total_votes,missed_votes,total_present,bills_sponsored,bills_cosponsored,votes_with_party_pct,votes_against_party_pctcommittees,subcommittees,committees,votes_against_party_pct
0,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,112,House,NY,5,,D,,30,1607,143,3,8,250,94.65,,0,2.0,5.28
1,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,111,House,NY,5,,D,,28,1655,132,0,13,325,98.75,,0,2.0,1.19
2,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,110,House,NY,5,,D,,26,1873,95,0,37,365,99.49,,0,2.0,1.03
3,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,109,House,NY,5,,D,,24,1214,48,1,11,402,94.43,,0,0.0,5.83
4,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,108,House,NY,5,,D,,22,1221,134,2,10,361,96.25,,0,0.0,3.93
5,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,107,House,NY,5,,D,,20,996,89,4,10,314,94.59,,0,0.0,5.98
6,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,106,House,NY,5,,D,,18,1214,163,2,14,337,95.66,,0,0.0,4.63
7,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,105,House,NY,5,,D,,16,1187,105,0,24,498,95.38,,0,0.0,5.1
8,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,104,House,NY,5,,D,,14,1340,99,0,10,450,95.42,,0,0.0,5.86
9,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,103,House,NY,5,,D,,12,1122,80,0,20,465,92.64,,0,0.0,6.56
10,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,102,House,NY,7,,D,,10,933,173,0,,,92.71,,0,0.0,4.59
11,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,101,House,NY,7,,D,,8,,,,,,,,0,0.0,
12,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,100,House,NY,7,,D,,6,,,,,,,,0,0.0,
13,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,99,House,NY,7,,D,,4,,,,,,,,0,0.0,
14,A000022,Gary,Ackerman,1942-11-19,M,D,400003,1002061,98,House,NY,7,,D,,2,,,,,,,,0,0.0,
