,id,first_name,last_name,dob,gender,current_party,govtrack_id,cspan_id,congress,chamber,state,district,senate_class,party,leadership_role,seniority,total_votes,missed_votes,total_present,bills_sponsored,bills_cosponsored,votes_with_party_pct,votes_against_party_pctcommittees,subcommittees,committees,votes_against_party_pct
0,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,116,Senate,IL,,2.0,D,Minority Whip,23,557.0,9.0,1.0,93.0,551.0,95.65,,13,4.0,4.35
1,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,115,Senate,IL,,2.0,D,Minority Whip,21,599.0,15.0,1.0,60.0,484.0,94.43,,10,3.0,5.57
2,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,114,Senate,IL,,2.0,D,Minority Whip,19,502.0,11.0,0.0,53.0,332.0,97.52,,0,3.0,2.48
3,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,113,Senate,IL,,2.0,D,Majority Whip,17,657.0,2.0,0.0,58.0,354.0,98.93,,9,3.0,1.07
4,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,112,Senate,IL,,2.0,D,Majority Whip,15,486.0,5.0,0.0,41.0,335.0,95.82,,0,0.0,4.18
5,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,111,Senate,IL,,2.0,D,Majority Whip,13,696.0,5.0,0.0,70.0,399.0,97.96,,0,4.0,2.04
6,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,110,Senate,IL,,2.0,D,Majority Whip,11,657.0,5.0,0.0,110.0,607.0,97.98,,0,3.0,2.02
7,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,109,Senate,IL,,2.0,D,Minority Whip,9,645.0,7.0,0.0,85.0,552.0,95.38,,0,0.0,4.62
8,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,108,Senate,IL,,2.0,D,,7,675.0,10.0,0.0,58.0,512.0,96.62,,0,0.0,3.38
9,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,107,Senate,IL,,2.0,D,,5,633.0,7.0,0.0,66.0,388.0,93.67,,0,0.0,6.33
10,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,106,Senate,IL,,2.0,D,,3,672.0,6.0,0.0,69.0,382.0,95.65,,0,0.0,4.35
11,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,105,Senate,IL,,2.0,D,,1,612.0,6.0,0.0,34.0,242.0,92.62,,0,0.0,7.38
12,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,104,House,IL,20.0,,D,,14,1340.0,85.0,0.0,10.0,185.0,91.95,,0,0.0,9.31
13,D000563,Richard,Durbin,1944-11-21,M,D,300038,6741,103,House,IL,20.0,,D,,12,1122.0,6.0,0.0,15.0,233.0,92.86,,0,0.0,6.49
