,id,first_name,last_name,dob,gender,current_party,govtrack_id,cspan_id,congress,chamber,state,district,senate_class,party,leadership_role,seniority,total_votes,missed_votes,total_present,bills_sponsored,bills_cosponsored,votes_with_party_pct,votes_against_party_pctcommittees,subcommittees,committees,votes_against_party_pct
0,G000225,Newt,Gingrich,1943-06-17,M,,404587,,105,House,GA,6,,R,,20,1187,1051,0,14,91,99.24,,0,0.0,1.52
1,G000225,Newt,Gingrich,1943-06-17,M,,404587,,105,House,GA,6,,R,,4,,,,,,,,0,0.0,
2,G000225,Newt,Gingrich,1943-06-17,M,,404587,,104,House,GA,6,,R,,18,1340,1236,1,5,26,98.04,,0,0.0,0.98
3,G000225,Newt,Gingrich,1943-06-17,M,,404587,,104,House,GA,6,,R,,2,,,,,,,,0,0.0,
4,G000225,Newt,Gingrich,1943-06-17,M,,404587,,103,House,GA,6,,R,,16,1122,76,2,9,452,92.77,,0,0.0,6.44
5,G000225,Newt,Gingrich,1943-06-17,M,,404587,,102,House,GA,6,,R,,14,933,93,1,,,89.74,,0,0.0,6.96
6,G000225,Newt,Gingrich,1943-06-17,M,,404587,,101,House,GA,6,,R,,12,,,,,,,,0,0.0,
7,G000225,Newt,Gingrich,1943-06-17,M,,404587,,100,House,GA,6,,R,,10,,,,,,,,0,0.0,
8,G000225,Newt,Gingrich,1943-06-17,M,,404587,,99,House,GA,6,,R,,8,,,,,,,,0,0.0,
9,G000225,Newt,Gingrich,1943-06-17,M,,404587,,98,House,GA,6,,R,,6,,,,,,,,0,0.0,
