,id,first_name,last_name,dob,gender,current_party,govtrack_id,cspan_id,congress,chamber,state,district,senate_class,party,leadership_role,seniority,total_votes,missed_votes,total_present,bills_sponsored,bills_cosponsored,votes_with_party_pct,votes_against_party_pctcommittees,subcommittees,committees,votes_against_party_pct
0,K000105,Edward,Kennedy,1932-02-22,M,,300059,,111,Senate,MA,,1,D,,47,270,261,0,15,147,100.0,,0,3.0,0.0
1,K000105,Edward,Kennedy,1932-02-22,M,,300059,,110,Senate,MA,,1,D,,45,657,128,0,97,405,94.08,,0,4.0,5.92
2,K000105,Edward,Kennedy,1932-02-22,M,,300059,,109,Senate,MA,,1,D,,43,645,19,0,69,424,94.81,,0,0.0,5.19
3,K000105,Edward,Kennedy,1932-02-22,M,,300059,,108,Senate,MA,,1,D,,41,675,27,0,56,406,94.94,,0,0.0,5.06
4,K000105,Edward,Kennedy,1932-02-22,M,,300059,,107,Senate,MA,,1,D,,39,633,28,0,64,351,93.61,,0,0.0,6.39
5,K000105,Edward,Kennedy,1932-02-22,M,,300059,,106,Senate,MA,,1,D,,37,672,53,0,41,393,95.15,,0,0.0,4.85
6,K000105,Edward,Kennedy,1932-02-22,M,,300059,,105,Senate,MA,,1,D,,35,612,20,0,34,243,93.47,,0,0.0,6.53
7,K000105,Edward,Kennedy,1932-02-22,M,,300059,,104,Senate,MA,,1,D,,33,916,26,0,16,145,92.55,,0,0.0,7.45
8,K000105,Edward,Kennedy,1932-02-22,M,,300059,,103,Senate,MA,,1,D,,31,724,23,0,60,234,94.06,,0,0.0,5.94
9,K000105,Edward,Kennedy,1932-02-22,M,,300059,,102,Senate,MA,,1,D,,29,550,7,0,,,91.53,,0,0.0,8.47
10,K000105,Edward,Kennedy,1932-02-22,M,,300059,,101,Senate,MA,,1,D,,27,638,20,0,,,,,0,0.0,
11,K000105,Edward,Kennedy,1932-02-22,M,,300059,,100,Senate,MA,,1,D,,25,,,,,,,,0,0.0,
12,K000105,Edward,Kennedy,1932-02-22,M,,300059,,99,Senate,MA,,1,D,,23,,,,,,,,0,0.0,
13,K000105,Edward,Kennedy,1932-02-22,M,,300059,,98,Senate,MA,,1,D,,21,,,,,,,,0,0.0,
14,K000105,Edward,Kennedy,1932-02-22,M,,300059,,97,Senate,MA,,1,D,,19,,,,,,,,0,0.0,
15,K000105,Edward,Kennedy,1932-02-22,M,,300059,,96,Senate,MA,,1,D,,17,,,,,,,,0,0.0,
16,K000105,Edward,Kennedy,1932-02-22,M,,300059,,95,Senate,MA,,1,D,,15,,,,,,,,0,0.0,
17,K000105,Edward,Kennedy,1932-02-22,M,,300059,,94,Senate,MA,,1,D,,13,,,,,,,,0,0.0,
18,K000105,Edward,Kennedy,1932-02-22,M,,300059,,93,Senate,MA,,1,D,,11,,,,,,,,0,0.0,
19,K000105,Edward,Kennedy,1932-02-22,M,,300059,,92,Senate,MA,,1,D,,9,,,,,,,,0,0.0,
20,K000105,Edward,Kennedy,1932-02-22,M,,300059,,91,Senate,MA,,1,D,,7,,,,,,,,0,0.0,
21,K000105,Edward,Kennedy,1932-02-22,M,,300059,,90,Senate,MA,,1,D,,5,,,,,,,,0,0.0,
22,K000105,Edward,Kennedy,1932-02-22,M,,300059,,89,Senate,MA,,1,D,,3,,,,,,,,0,0.0,
23,K000105,Edward,Kennedy,1932-02-22,M,,300059,,88,Senate,MA,,1,D,,1,,,,,,,,0,0.0,
24,K000105,Edward,Kennedy,1932-02-22,M,,300059,,87,Senate,MA,,1,D,,1,,,,,,,,0,0.0,
