,id,first_name,last_name,dob,gender,current_party,govtrack_id,cspan_id,congress,chamber,state,district,senate_class,party,leadership_role,seniority,total_votes,missed_votes,total_present,bills_sponsored,bills_cosponsored,votes_with_party_pct,votes_against_party_pctcommittees,subcommittees,committees,votes_against_party_pct
0,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,116,House,MI,6,,R,,34,839,7,0,10,202,81.6,,3,1.0,18.28
1,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,115,House,MI,6,,R,,32,1211,30,0,11,168,90.81,,3,1.0,9.19
2,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,114,House,MI,6,,R,,30,1325,0,0,10,82,92.7,,0,1.0,7.22
3,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,113,House,MI,6,,R,,28,1204,20,0,7,99,93.98,,0,1.0,5.94
4,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,112,House,MI,6,,R,,26,1607,0,0,10,114,91.91,,0,1.0,8.03
5,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,111,House,MI,6,,R,,24,1655,1,0,5,279,92.76,,0,1.0,7.18
6,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,110,House,MI,6,,R,,22,1873,10,1,9,335,91.38,,0,1.0,9.18
7,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,109,House,MI,6,,R,,20,1214,0,0,10,244,90.54,,0,0.0,9.71
8,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,108,House,MI,6,,R,,18,1221,14,0,13,310,93.23,,0,0.0,6.94
9,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,107,House,MI,6,,R,,16,996,0,0,13,239,94.8,,0,0.0,5.71
10,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,106,House,MI,6,,R,,14,1214,0,0,16,248,87.99,,0,0.0,12.26
11,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,105,House,MI,6,,R,,12,1187,2,0,14,194,87.74,,0,0.0,12.78
12,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,104,House,MI,6,,R,,10,1340,0,1,15,151,86.95,,0,0.0,14.29
13,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,103,House,MI,6,,R,,8,1122,0,0,15,359,82.53,,0,0.0,16.73
14,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,102,House,MI,4,,R,,6,933,3,1,,,80.31,,0,0.0,16.26
15,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,101,House,MI,4,,R,,4,,,,,,,,0,0.0,
16,U000031,Fred,Upton,1953-04-23,M,R,400414,12127,100,House,MI,4,,R,,2,,,,,,,,0,0.0,
