,id,first_name,last_name,dob,gender,current_party,govtrack_id,cspan_id,congress,chamber,state,district,senate_class,party,leadership_role,seniority,total_votes,missed_votes,total_present,bills_sponsored,bills_cosponsored,votes_with_party_pct,votes_against_party_pctcommittees,subcommittees,committees,votes_against_party_pct
0,Y000033,Don,Young,1933-06-09,M,R,400440,1897,116,House,AK,At-Large,,R,,48,839,36,0,43,338,88.08,,5,2.0,11.79
1,Y000033,Don,Young,1933-06-09,M,R,400440,1897,115,House,AK,At-Large,,R,,46,1211,44,0,71,271,90.89,,5,2.0,9.11
2,Y000033,Don,Young,1933-06-09,M,R,400440,1897,114,House,AK,At-Large,,R,,44,1311,77,4,64,228,91.61,,0,2.0,8.31
3,Y000033,Don,Young,1933-06-09,M,R,400440,1897,113,House,AK,At-Large,,R,,42,1204,95,0,45,313,88.86,,0,2.0,11.05
4,Y000033,Don,Young,1933-06-09,M,R,400440,1897,112,House,AK,At-Large,,R,,40,1607,178,1,65,293,87.24,,0,2.0,12.69
5,Y000033,Don,Young,1933-06-09,M,R,400440,1897,111,House,AK,At-Large,,R,,38,1655,195,0,54,377,82.9,,0,2.0,17.03
6,Y000033,Don,Young,1933-06-09,M,R,400440,1897,110,House,AK,At-Large,,R,,36,1873,317,3,46,366,88.46,,0,2.0,12.07
7,Y000033,Don,Young,1933-06-09,M,R,400440,1897,109,House,AK,At-Large,,R,,34,1214,100,0,63,146,93.36,,0,0.0,6.92
8,Y000033,Don,Young,1933-06-09,M,R,400440,1897,108,House,AK,At-Large,,R,,32,1221,155,0,59,104,96.79,,0,0.0,3.4
9,Y000033,Don,Young,1933-06-09,M,R,400440,1897,107,House,AK,At-Large,,R,,30,996,181,1,65,133,96.75,,0,0.0,3.75
10,Y000033,Don,Young,1933-06-09,M,R,400440,1897,106,House,AK,At-Large,,R,,28,1214,165,0,56,154,92.53,,0,0.0,7.57
11,Y000033,Don,Young,1933-06-09,M,R,400440,1897,105,House,AK,At-Large,,R,,26,1187,209,0,50,169,92.27,,0,0.0,8.15
12,Y000033,Don,Young,1933-06-09,M,R,400440,1897,104,House,AK,At-Large,,R,,24,1340,127,0,48,141,93.97,,0,0.0,7.05
13,Y000033,Don,Young,1933-06-09,M,R,400440,1897,103,House,AK,At-Large,,R,,22,1122,92,2,27,274,84.47,,0,0.0,14.83
14,Y000033,Don,Young,1933-06-09,M,R,400440,1897,102,House,AK,At-Large,,R,,20,933,72,0,,,80.12,,0,0.0,16.43
15,Y000033,Don,Young,1933-06-09,M,R,400440,1897,101,House,AK,At-Large,,R,,18,,,,,,,,0,0.0,
16,Y000033,Don,Young,1933-06-09,M,R,400440,1897,100,House,AK,At-Large,,R,,16,,,,,,,,0,0.0,
17,Y000033,Don,Young,1933-06-09,M,R,400440,1897,99,House,AK,At-Large,,R,,14,,,,,,,,0,0.0,
18,Y000033,Don,Young,1933-06-09,M,R,400440,1897,98,House,AK,At-Large,,R,,12,,,,,,,,0,0.0,
