,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,senate_class
0,A000355,Spencer,Abraham,1952-06-12,M,R,,400555,,5,672,0,0,MI,1
1,A000069,Daniel,Akaka,1924-09-11,M,D,,300001,8704,9,672,30,0,HI,1
2,A000109,Wayne,Allard,1943-12-02,M,R,,300003,,3,672,4,0,CO,2
3,A000356,John,Ashcroft,1942-05-09,M,R,,400556,,3,672,14,0,MO,1
4,B000243,Max,Baucus,1941-12-11,M,D,,300005,1727,21,672,7,0,MT,2
5,B001233,Evan,Bayh,1955-12-26,M,D,,300006,,1,672,0,0,IN,3
6,B000382,Robert,Bennett,1933-09-18,M,R,,300007,25708,7,672,8,0,UT,3
7,B000444,Joseph,Biden,1942-11-20,M,D,,300008,34,27,672,32,0,DE,2
8,B000468,Jeff,Bingaman,1943-10-03,M,D,,300009,590,17,672,6,0,NM,1
9,B000611,Christopher,Bond,1939-03-06,M,R,,300010,2360,13,672,16,0,MO,3
10,B000711,Barbara,Boxer,1940-11-11,F,D,,300011,2470,7,672,36,0,CA,3
11,B000780,John,Breaux,1944-03-01,M,D,,300012,,13,672,12,0,LA,3
12,B000953,Sam,Brownback,1956-09-12,M,R,,300013,,5,672,9,0,KS,3
13,B000993,Richard,Bryan,1937-07-16,M,D,,400557,,11,672,3,0,NV,1
14,B001066,Jim,Bunning,1931-10-23,M,R,,300014,1457,1,672,21,0,KY,3
15,B001126,Conrad,Burns,1935-01-25,M,R,,300015,,11,672,20,0,MT,1
16,B001210,Robert,Byrd,1917-11-20,M,D,,300016,,41,672,2,1,WV,1
17,C000077,Ben,Campbell,1933-04-13,M,R,,300017,,7,672,10,0,CO,3
18,C000269,John,Chafee,1922-10-22,M,R,,402412,,23,340,22,0,RI,1
19,C001040,Lincoln,Chafee,1953-03-26,M,R,,300020,,1,319,0,0,RI,1
20,C001034,Max,Cleland,1942-08-24,M,D,,300152,,3,672,2,0,GA,2
21,C000567,Thad,Cochran,1937-12-07,M,R,,300023,1200,21,672,6,0,MS,2
22,C001035,Susan,Collins,1952-12-07,F,R,,300025,45738,3,672,0,0,ME,2
23,C000705,Kent,Conrad,1948-03-12,M,D,,300026,2517,13,672,6,0,ND,1
24,C000813,Paul,Coverdell,1939-01-20,M,R,,400558,,7,589,19,0,GA,3
25,C000858,Larry,Craig,1945-07-20,M,R,,300029,,9,672,2,0,ID,2
26,C000880,Michael,Crapo,1951-05-20,M,R,,300030,26440,1,672,24,0,ID,3
27,D000064,Thomas,Daschle,1947-12-09,M,D,,300031,,13,672,13,0,SD,3
28,D000294,Michael,DeWine,1947-01-05,M,R,,300033,,5,672,1,0,OH,1
29,D000388,Christopher,Dodd,1944-05-27,M,D,,300034,,19,672,32,0,CT,3
30,D000407,Pete,Domenici,1932-05-07,M,R,,300036,,27,672,25,0,NM,2
31,D000432,Byron,Dorgan,1942-05-14,M,D,,300037,2318,7,672,8,0,ND,3
32,D000563,Richard,Durbin,1944-11-21,M,D,,300038,6741,3,672,6,0,IL,2
33,E000286,John,Edwards,1953-06-10,M,D,,300039,,1,672,3,0,NC,3
34,E000285,Michael,Enzi,1944-02-01,M,R,,300041,45824,3,672,5,0,WY,2
35,F000061,Russ,Feingold,1953-03-02,M,D,,300042,,7,672,1,0,WI,3
36,F000062,Dianne,Feinstein,1933-06-22,F,D,,300043,13061,7,672,48,0,CA,1
37,F000442,Peter,Fitzgerald,1960-10-20,M,R,,300044,,1,672,1,28,IL,3
38,F000439,William,Frist,1952-02-22,M,R,,300045,,5,672,11,0,TN,1
39,G000333,Slade,Gorton,1928-01-08,M,R,,400559,,17,672,29,2,WA,1
40,G000352,Bob,Graham,1936-11-09,M,D,,300046,,13,672,6,0,FL,3
41,G000365,Phil,Gramm,1942-07-08,M,R,,300159,,15,672,5,0,TX,2
42,G000367,Rod,Grams,1948-02-04,M,R,,400560,,5,672,28,0,MN,1
43,G000386,Charles,Grassley,1933-09-17,M,R,,300048,1167,19,672,0,0,IA,3
44,G000445,Judd,Gregg,1947-02-14,M,R,,300049,,7,672,27,0,NH,3
45,H001028,Chuck,Hagel,1946-10-04,M,R,,300050,,3,672,7,0,NE,2
46,H000206,Tom,Harkin,1939-11-19,M,D,,300051,2005,15,672,12,0,IA,2
47,H000338,Orrin,Hatch,1934-03-22,M,R,,300052,189,23,672,18,0,UT,1
48,H000463,Jesse,Helms,1921-10-18,M,R,,300154,,27,672,35,1,NC,2
49,H000725,Ernest,Hollings,1922-01-01,M,D,,300053,,33,672,15,0,SC,3
50,H001015,Tim,Hutchinson,1949-08-11,M,R,,300151,,3,672,22,0,AR,2
51,H001016,Kay,Hutchison,1943-07-22,F,R,,300054,24713,7,672,10,0,TX,1
52,I000024,James,Inhofe,1934-11-17,M,R,,300055,5619,7,672,27,0,OK,2
53,I000025,Daniel,Inouye,1924-09-07,M,D,,300056,2568,31,672,69,0,HI,3
54,J000072,James,Jeffords,1934-05-11,M,R,,300057,,11,672,21,0,VT,1
55,J000177,Tim,Johnson,1946-12-28,M,D,,300058,2545,3,672,3,0,SD,2
