,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,senate_class,state_names
0,A000360,Lamar,Alexander,1940-07-03,M,R,False,300002,5.0,17,565,105,0,TN,2,Tennessee
1,B001230,Tammy,Baldwin,1962-02-11,F,D,False,400013,57884.0,7,565,1,1,WI,1,Wisconsin
2,B001261,John,Barrasso,1952-07-21,M,R,Senate Republican Conference Chair,412251,1024777.0,13,565,0,0,WY,1,Wyoming
3,B001267,Michael,Bennet,1964-11-28,M,D,False,412330,1031622.0,11,565,129,1,CO,3,Colorado
4,B001243,Marsha,Blackburn,1952-06-06,F,R,False,400032,31226.0,1,565,6,0,TN,1,Tennessee
5,B001277,Richard,Blumenthal,1946-02-13,M,D,False,412490,21799.0,9,565,4,1,CT,3,Connecticut
6,B000575,Roy,Blunt,1950-01-10,M,R,Senate Republican Policy Committee Chair,400034,45465.0,9,565,6,0,MO,3,Missouri
7,B001288,Cory,Booker,1969-04-27,M,D,False,412598,84679.0,7,565,287,1,NJ,2,New Jersey
8,B001236,John,Boozman,1950-12-10,M,R,False,400040,92069.0,9,565,0,0,AR,3,Arkansas
9,B001310,Mike,Braun,1954-03-24,M,R,False,412839,,1,565,4,0,IN,1,Indiana
10,B000944,Sherrod,Brown,1952-11-09,M,D,False,400050,5051.0,13,565,12,1,OH,1,Ohio
11,B001135,Richard,Burr,1955-11-30,M,R,False,400054,31054.0,15,565,67,0,NC,3,North Carolina
12,C000127,Maria,Cantwell,1958-10-13,F,D,False,300018,26137.0,19,565,4,1,WA,1,Washington
13,C001047,Shelley,Capito,1953-11-26,F,R,False,400061,83737.0,5,565,13,0,WV,2,West Virginia
14,C000141,Benjamin,Cardin,1943-10-05,M,D,False,400064,4004.0,13,565,9,1,MD,1,Maryland
15,C000174,Thomas,Carper,1947-01-23,M,D,False,300019,663.0,19,565,3,1,DE,1,Delaware
16,C001070,Bob,Casey,1960-04-13,M,D,False,412246,47036.0,13,565,0,1,PA,1,Pennsylvania
17,C001075,Bill,Cassidy,1957-09-28,M,R,False,412269,1030546.0,5,565,43,0,LA,2,Louisiana
18,C001035,Susan,Collins,1952-12-07,F,R,False,300025,45738.0,23,565,0,0,ME,2,Maine
19,C001088,Christopher,Coons,1963-09-09,M,D,False,412390,9269028.0,11,565,16,1,DE,2,Delaware
20,C001056,John,Cornyn,1952-02-02,M,R,Senate Majority Whip,300027,93131.0,17,565,7,0,TX,2,Texas
21,C001113,Catherine,Cortez Masto,1964-03-29,F,D,False,412681,105698.0,1,565,3,1,NV,3,Nevada
22,C001095,Tom,Cotton,1977-05-13,M,R,False,412508,63928.0,5,565,4,0,AR,2,Arkansas
23,C001096,Kevin,Cramer,1961-01-21,M,R,False,412555,7600.0,1,565,16,0,ND,1,North Dakota
24,C000880,Michael,Crapo,1951-05-20,M,R,False,300030,26440.0,21,565,4,0,ID,3,Idaho
25,C001098,Ted,Cruz,1970-12-22,M,R,False,412573,1019953.0,7,565,22,0,TX,1,Texas
26,D000618,Steve,Daines,1962-08-20,M,R,False,412549,1034037.0,5,565,8,0,MT,2,Montana
27,D000622,Tammy,Duckworth,1968-03-12,F,D,False,412533,94484.0,3,565,20,1,IL,3,Illinois
28,D000563,Richard,Durbin,1944-11-21,M,D,Senate Minority Whip,300038,6741.0,23,565,9,1,IL,2,Illinois
